CANTIDAD_CLASIF_A,ventas_totales_Veh_livianos,Tasa de inflación (mensual),Población Económicamente Activa (Nacional),Exportaciones totales (USD),PRODUCTO INTERNO BRUTO (PIB) TRIMESTRAL (MILES DE DOL),Balanza comercial total (millones de usd), Valor Unitario del petroleo Promedio (eje der.) ,EXPORTACIONES PETROLERAS (miles de USD) FOB (der),Import. CIF MILLONES USD,Exp. no petroleras MILLONES USD,IMPORTACIONES Petroleras,IMPORTACIONES No Petroleras,Fecha
0.0183544450569381,0.0009147231605173401,6.598003125043109e-05,3.898820028434564e-05,8.997276988695147e-06,3.598910795478059e-05,0.00023093010937650879,8.397458522782138e-05,0.9998194062764187,0.0037968508892293525,8.097549289825633e-05,0.0010586795923364623,0.002792154958825061,0.00015895189346694762
0.05085955937654424,0.0009994680620126375,9.878463403613277e-05,3.486516495392921e-05,5.810860825654869e-06,3.777059536675665e-05,0.0001510823814670266,9.878463403613277e-05,0.9986952175228254,0.0035155707995211958,7.55411907335133e-05,0.0011185907089385622,0.0025509679024624875,1.1621721651309739e-05
0.01168676275274414,0.0009273258936754415,3.275323244769771e-05,2.4564924335773284e-05,3.070615541971661e-05,2.661200136375439e-05,0.00013715416087473417,7.574185003530096e-05,0.9999254804727915,0.0024974339741369506,5.117692569952768e-05,0.001093139132941911,0.002028653334729277,0.00012282462167886643
0.028892400183932167,0.0005887227494830477,6.845613366081951e-05,2.347067439799526e-05,2.7382453464327804e-05,2.5426563931161534e-05,0.00012322104058947513,7.823558132665086e-05,0.9995769048199549,0.00249180326525383,4.694134879599052e-05,0.0010894304699736134,0.0018600509460411244,8.997091852564849e-05
0.02990113313425026,0.0006110503365264604,1.0083338886575253e-05,3.428335221435586e-05,2.2183345550465558e-05,2.2183345550465558e-05,0.0001230167344162181,7.058337220602678e-05,0.9995472671517638,0.002498651376093348,4.638335887824617e-05,0.0010668172541996618,0.0018432343484659564,7.865004331528699e-05
0.025988568828531997,0.0008672334237092188,1.89559218297097e-05,4.0281333888133114e-05,1.6586431600995987e-05,2.6064392515850836e-05,9.714909937726221e-05,8.767113846240736e-05,0.9996523851408846,0.0036016251476448428,5.212878503170167e-05,0.0011065519368093036,0.002175192029959188,2.6064392515850836e-05
0.04078815062831488,0.000504770673639205,5.137046678629078e-05,3.7969475450736665e-05,1.786798844740549e-05,2.456848411518255e-05,0.00017197938880627784,8.710644368110176e-05,0.9991600459904675,0.003131364975407812,4.690346967443941e-05,0.0010899472952917348,0.00205035167433978,0.00018091338302998058
0.01574106473212243,0.000811472549436383,7.5136347170035465e-06,2.6297721509512413e-05,5.63522603775266e-05,3.0054538868014186e-05,0.00010706929471730055,7.701475584928635e-05,0.99986942633053,0.002748111897744047,3.7568173585017735e-05,0.0010312463649087367,0.002008018878119198,0.0001390022422645656
0.019281977616921558,0.000909004348963762,1.5519586445722765e-05,3.103917289144553e-05,2.217083777960395e-05,3.547334044736632e-05,7.538084845065343e-05,8.64662673404554e-05,0.99980501509013,0.0034253944369488105,4.2124591781247505e-05,0.001088588134978554,0.0020862758350607318,0.00014854461312334647
0.014910625578606632,0.0008334423179466187,4.566807221625308e-05,2.6639708792814297e-05,4.757090855859696e-05,3.0445381477502054e-05,0.00015222690738751028,8.372479906313065e-05,0.9998815099750954,0.002991258730164577,3.425105416218981e-05,0.0010674911880549157,0.0019542129235871632,3.425105416218981e-05
0.018089743746523494,0.0007988024037430659,3.605046477700298e-05,3.415307189400282e-05,3.794785766000313e-05,4.1742643426003444e-05,0.00014420185910801191,8.538267973500705e-05,0.9998292823040495,0.0029656250761292448,3.415307189400282e-05,0.0010777191575440889,0.0018803163470531552,4.9332214958004075e-05
0.01546303494233566,0.0006894590759525436,5.3624594796308954e-05,3.447295379762718e-05,4.404877429696807e-05,4.213361019709989e-05,0.00012640083059129966,8.426722039419978e-05,0.9998746187514774,0.0024858830016288936,3.255778969775901e-05,0.0010858980446252563,0.0019419763972663314,6.320041529564983e-05
0.029929115517877924,0.0009704084243432612,4.504005345053111e-05,3.685095282316182e-05,4.913460376421576e-05,4.504005345053111e-05,0.00014535653613580496,8.80328317442199e-05,0.9995431971002844,0.0032940657273592983,3.070912735263485e-05,0.0010871031082832737,0.0021496389146844395,0.00011055285846948546
0.03412700450690882,0.0009897197869887628,7.52418551511925e-05,3.8585566744201276e-05,5.5949071779091855e-05,4.051484508141134e-05,0.00011189814355818371,8.681752517445288e-05,0.9994105520765689,0.002772372970570862,3.0868453395361026e-05,0.0011035472088841566,0.001994873800675206,9.646391686050319e-06
0.03937323649416546,0.0013286969174844331,3.512884540783105e-05,4.1328053420977706e-05,5.57928721183199e-05,4.339445609202659e-05,0.00016117940834181304,8.472250951300429e-05,0.9992152107937016,0.0032959122603229717,2.8929637394684393e-05,0.0011034590263401048,0.0021924532339828674,0.000126050562933982
0.019504363300339844,0.0017753022213286768,3.0495989078038623e-05,4.3565698682912314e-05,2.8317704143893008e-05,4.574398361705793e-05,1.7426279473164926e-05,8.713139736582463e-05,0.9997979322138913,0.0038294249142279925,2.3961134275601773e-05,0.001117460171216701,0.0021412540902651404,0.00010237939190484395
0.02325553911134793,0.001772135279325999,1.2810616477055415e-05,4.6972260415869855e-05,4.483715766969395e-05,4.270205492351805e-05,0.00013878167850143365,8.7539212593212e-05,0.9997212939446889,0.0034695419625358414,2.562123295411083e-05,0.0011380097637117559,2.231182369753818e-06,8.54041098470361e-05
0.02761933323354782,0.0019428210984045195,3.213044815442976e-05,4.712465729316365e-05,2.5704358523543806e-05,4.2840597539239676e-05,5.997683655493555e-05,9.210728470936531e-05,0.9996060884727103,0.003975607451641442,1.9278268892657856e-05,0.0011395598945437755,0.001985661695943759,2.5704358523543806e-05
0.03577099994188303,0.0014240310062316427,1.2812618307996786e-05,4.02682289679899e-05,4.7589725143988064e-05,3.660748087999081e-05,8.236683197997934e-05,8.602758006797841e-05,0.9993567724130893,3.221458317439192e-06,1.8303740439995406e-05,0.0011513052736757113,0.0017553287081955597,0.00015009067160796235
0.02145573265003169,0.0014273555533580117,1.0895843918763449e-05,3.450350574275092e-05,6.53750635125807e-05,4.176740168859322e-05,7.627090743134414e-05,9.079869932302873e-05,0.9997681344799912,3.330496291168694e-06,1.2711817905224023e-05,0.001118639975659714,1.924932425648209e-06,0.0001361980489845431
